type,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39,x_40,x_41,x_42,x_43,x_44,x_45,x_46,x_47,x_48,x_49,x_50,x_51,x_52,x_53,x_54,x_55,x_56,x_57,x_58,x_59,x_60,x_61,x_62
JapS-AQ4_bon_000020,0.30790058,0.3241201,0.33587536,0.33976287,0.33665574,0.32197973,0.32286632,0.3275328,0.3314611,0.3118964,0.3132541,0.31859946,0.32212982,0.3012704,0.30308443,0.3092326,0.31259665,0.28998196,0.29292685,0.29855072,0.30200872,0.38011405,0.36527276,0.3410959,0.32048854,0.30343235,0.31761426,0.29715317,0.29964903,0.3101526,0.31676432,0.2929671,0.29999962,0.31402048,0.31849656,0.2958085,0.30419093,0.31879365,0.32295674,0.30417052,0.3097323,0.3213331,5.4017317e-08,-0.0044508977,-0.0053861584,-0.006754009,-0.007962371,0.0017568483,-0.0041692355,-0.009709504,-0.012171632,0.001942253,-0.0038241127,-0.008911338,-0.0109758945,0.0009994288,-0.00461443,-0.0073065613,-0.0074530467,-0.00034178013,-0.0043196655,-0.004948885,-0.004135964
JapS-AQ4_bon_000021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JapS-AQ4_bon_000022,0.25073066,0.26738882,0.27746293,0.28201768,0.28591985,0.24781328,0.245221,0.24394748,0.2424614,0.23341884,0.22471347,0.2205807,0.21727297,0.22178659,0.20866911,0.20125552,0.19588795,0.21367373,0.19976483,0.19097999,0.18400326,0.37848192,0.35075226,0.32030547,0.29360902,0.27187312,0.28978974,0.25279418,0.23180518,0.21400519,0.2943051,0.25560224,0.23303144,0.21595655,0.30644983,0.27508092,0.25507733,0.23909594,0.32438284,0.3049061,0.29200232,0.28044558,1.03873774e-07,-0.005515744,-0.007926568,-0.010381658,-0.012954899,-0.0033507606,-0.0070796874,-0.010357228,-0.012874987,-0.004488536,-0.007382704,-0.01054567,-0.01308396,-0.0065694144,-0.010641217,-0.014537343,-0.017280374,-0.009174241,-0.013765788,-0.015998896,-0.017306438
JapS-AQ4_bon_000023,0.25443497,0.27066296,0.2807129,0.28765988,0.29364818,0.25108334,0.2491492,0.24715523,0.24489272,0.23786429,0.23105866,0.22713356,0.22354978,0.22685954,0.21575305,0.20944944,0.20471029,0.21877082,0.20363486,0.19391778,0.18608278,0.40391025,0.37285283,0.34019956,0.3121561,0.28992137,0.30935812,0.27450243,0.2526322,0.23521982,0.31476048,0.27833655,0.25730437,0.2400988,0.32649386,0.29539242,0.27610284,0.26043844,0.3443322,0.32669884,0.31471708,0.3036943,1.1668272e-07,-0.0053817597,-0.008317577,-0.011583367,-0.014980119,-0.0016994269,-0.0052295085,-0.00880596,-0.011601827,-0.0031499134,-0.0056222123,-0.00862403,-0.011133954,-0.005689933,-0.0092101395,-0.012231532,-0.014416887,-0.008915597,-0.013085347,-0.0148157785,-0.015701834
JapS-AQ4_bon_000024,0.25288162,0.26883253,0.27854756,0.28493613,0.29086536,0.24872051,0.24560362,0.24291147,0.24044225,0.23514415,0.22768356,0.22338851,0.21969227,0.22454402,0.21307006,0.20661953,0.20186304,0.21674557,0.20160419,0.19162454,0.18346384,0.4057557,0.3730112,0.33879265,0.31043848,0.28781915,0.30684528,0.27453357,0.25363708,0.23733626,0.31285116,0.2790576,0.25868684,0.2414538,0.32494986,0.29694632,0.2793848,0.2656542,0.34269747,0.32701334,0.31561047,0.30522352,1.51405e-07,-0.005247397,-0.007901921,-0.011045055,-0.013999617,0.0009057886,-0.0014318471,-0.004206124,-0.0064044395,-0.00022705602,-0.0013066775,-0.003130203,-0.004751834,-0.0026974266,-0.005225408,-0.0073345844,-0.008875352,-0.005982584,-0.009437809,-0.010826958,-0.011434041
JapS-AQ4_bon_000025,0.25080416,0.26713812,0.27714363,0.28402627,0.29029092,0.24766114,0.2445513,0.24169391,0.2388413,0.234467,0.22731334,0.22290727,0.21876584,0.22398141,0.21281782,0.20629783,0.2013514,0.21616298,0.20138365,0.19137451,0.1831803,0.40322065,0.37039167,0.33684388,0.30774298,0.28426456,0.3041955,0.272102,0.25164145,0.23567906,0.3104555,0.27724862,0.2576003,0.24077374,0.32285222,0.29590982,0.2788963,0.26558354,0.34021786,0.3248808,0.3138315,0.30391896,1.5072426e-07,-0.0056222207,-0.008673744,-0.012172323,-0.01548888,0.0007886601,-0.0016916986,-0.0046583177,-0.0070247278,-0.00015880629,-0.0012687662,-0.0032930872,-0.005157871,-0.0024765485,-0.0049964213,-0.0071909614,-0.008862136,-0.00564453,-0.009083047,-0.010545014,-0.011254943
JapS-AQ4_bon_000026,0.25269762,0.2684912,0.27839717,0.28554693,0.29149044,0.24876761,0.24608883,0.24342455,0.24069276,0.23574275,0.22882286,0.2244327,0.22050443,0.22546881,0.2145003,0.20821713,0.20371652,0.21798813,0.20289928,0.19275282,0.18461618,0.40066463,0.36805964,0.3347754,0.30547112,0.2816555,0.30347908,0.27174997,0.25119644,0.2351366,0.3096633,0.27646565,0.25718606,0.2403363,0.32166708,0.29427525,0.2770604,0.26348594,0.33882424,0.3234894,0.31237388,0.3025529,1.4467886e-07,-0.006031948,-0.0093811015,-0.013123103,-0.016777627,-0.00026940394,-0.003070315,-0.0061315433,-0.0085345665,-0.0011311427,-0.0025394824,-0.0045609307,-0.006396143,-0.003343682,-0.0060359924,-0.008066814,-0.009646693,-0.0064470717,-0.010075087,-0.011468845,-0.012116401
JapS-AQ4_bon_000027,0.25273144,0.26860973,0.27841422,0.28508294,0.29107612,0.24879009,0.24559471,0.24271822,0.24001437,0.23570636,0.22850336,0.22419776,0.22036748,0.22547908,0.21428834,0.20801957,0.20344508,0.2179866,0.20322865,0.1932883,0.18515097,0.4006878,0.36852044,0.33570692,0.30678985,0.2836873,0.3031713,0.27113026,0.2507018,0.23495102,0.30928826,0.27621225,0.2567765,0.24008083,0.32124367,0.29442638,0.27732682,0.26412186,0.33830822,0.32315567,0.3119783,0.30206653,1.4806426e-07,-0.005621449,-0.008606237,-0.012042916,-0.015266472,0.0010225619,-0.0012671854,-0.0040153507,-0.0061739045,0.00017272409,-0.00066804583,-0.0023580089,-0.003931984,-0.0020666458,-0.004287651,-0.0061749434,-0.0076312935,-0.0051894416,-0.008356337,-0.009591202,-0.010125589
JapS-AQ4_bon_000028,0.254541,0.27083975,0.28063118,0.28775638,0.29375777,0.25155655,0.24883021,0.24622032,0.24353038,0.23851104,0.23162223,0.22736503,0.22347122,0.22812146,0.21735464,0.21161625,0.20743251,0.22040202,0.20543437,0.19526151,0.18699607,0.39937022,0.36706197,0.33381048,0.30500263,0.28203118,0.30310246,0.2718659,0.25165278,0.23582412,0.30871993,0.27578792,0.25693,0.24052173,0.32021847,0.29308105,0.27641726,0.26365727,0.33682957,0.32066718,0.30903825,0.2989975,1.3398648e-07,-0.0054526823,-0.008430879,-0.011933952,-0.015429061,6.1473176e-05,-0.0026207233,-0.005549688,-0.00785052,-0.0010729582,-0.0024320579,-0.004458311,-0.0062935585,-0.003501184,-0.0062450487,-0.0084117,-0.01003046,-0.0067513543,-0.010382516,-0.0118831545,-0.012630521
JapS-AQ4_bon_000029,0.25642183,0.27281237,0.28270912,0.28985187,0.29593414,0.25347427,0.25072443,0.24807964,0.2454028,0.24036951,0.23349088,0.22919807,0.22539751,0.23005983,0.21956816,0.21384183,0.20973834,0.22239879,0.20755298,0.19750288,0.18939596,0.39931777,0.3674826,0.33445728,0.30568314,0.28260806,0.30330175,0.27214533,0.25204724,0.23631482,0.30918375,0.2764088,0.25722545,0.24052882,0.32070258,0.2943371,0.27750796,0.26444697,0.33719862,0.3213987,0.30991083,0.29985958,1.3733637e-07,-0.005468094,-0.00828436,-0.011644897,-0.014948679,0.0009237611,-0.001303808,-0.0040782834,-0.0063091633,-0.00013742928,-0.00096610154,-0.0028843384,-0.0047423425,-0.0025488113,-0.0048166206,-0.0068986854,-0.008573288,-0.005842349,-0.00915401,-0.010563881,-0.011306521
