type,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31
JapS-AQ4_bon_000010,-0.013705749,0.018838469,-0.0019649044,0.031089526,0.00067858025,0.024796821,-0.006252665,-0.00949534,0.0080548,-0.024375614,-0.0056555644,0.0010203645,0.0054723844,0.018656258,-0.00573669,-0.0012841746,-0.022716567,-0.018567715,0.0004539676,-0.007916324,-0.006177511,0.019287758,-0.018074531,0.020142775,-0.012741014,-0.021700274,-0.024506036,0.014209855,-0.010576591,0.027154572,-0.018220063,0.016668022
JapS-AQ4_bon_000011,-0.0018526316,0.017853439,-0.0025956593,-0.014562782,-0.029744294,0.016579114,-0.023457605,-0.007568937,0.009492263,0.029891983,-0.010259271,-0.0038657896,0.015268359,0.015396435,-0.009916607,-0.013760578,-0.012327332,0.022004772,-0.0163683,-0.01887272,-0.018332232,-0.010132559,0.025337521,-0.004154023,0.028773818,-0.024370924,0.0077122264,0.027926836,-0.030458216,-0.0038426407,-0.026898239,0.022378575
JapS-AQ4_bon_000012,-0.006530009,0.019073375,-0.01490156,0.010087527,-0.012205329,-0.02817177,-0.009341069,-0.0020147637,-0.028554134,0.0008870959,-0.016878415,0.017232146,-0.013642684,0.02978189,0.0040912405,-0.007650852,-0.021286957,-0.022424955,-0.014341373,-0.005225256,-0.028621387,-0.013106491,-0.007824931,0.02972103,-0.004058581,0.014242139,-0.0053459816,-0.005114328,0.018423766,0.020946797,0.0033876933,0.016241089
JapS-AQ4_bon_000013,-0.023848038,0.016392391,-0.0051597245,0.016004171,-0.009788103,0.005154785,0.01627168,-0.024730675,-0.011411641,0.013676755,0.0009724386,0.002741184,-0.007472407,0.020560637,0.025290702,0.02774702,-0.009096861,0.029425595,0.0119346455,0.01854578,-0.007952195,-0.014298752,0.0148567,0.004708614,-0.031015903,0.01736233,-0.02394206,-0.028171688,-0.030119456,0.01123818,0.028158456,-0.019231785
JapS-AQ4_bon_000014,2.7790666e-06,0.0015616827,0.004785642,-0.030600611,0.0074213184,0.020787876,-0.0074088536,-0.016006619,0.02820956,-0.011818744,0.0024510473,0.0114071,0.020276546,-0.018288955,-0.0059959255,0.020286437,0.005034793,0.011590257,0.018648878,0.023828972,0.015604369,-0.00931517,0.022016753,-0.014421262,-0.0035986416,-0.005843278,-0.0036878064,0.029674027,-0.00017724559,-0.026284136,-0.004050445,-0.028776981
JapS-AQ4_bon_000015,-0.010334346,0.004602287,-0.011321504,-0.025468167,0.011379726,-0.025751859,-0.0020827353,-0.019223168,-0.023530435,0.025996149,0.0074679554,-0.020610522,0.0150662735,-0.021698598,-0.0037456527,-0.0012075529,-0.029494248,0.023069311,-0.012023613,-0.0043128617,-0.009980548,-0.022899576,-0.0031693615,0.022197004,0.019576289,0.014198378,-0.003573101,0.0012247115,-0.02675961,0.00014349446,-0.021150783,0.024469744
JapS-AQ4_bon_000016,0.02071518,-0.018501766,-0.0043885447,0.0100630745,-0.013790481,0.026873242,0.01496632,0.014461152,0.013814565,-0.026308328,-0.021112561,-0.0012034923,-0.01277639,-0.022057373,-0.026260015,-0.017152954,-0.025659434,-0.0014475547,0.021248907,-0.018717825,0.013267789,0.021893721,0.02749601,0.019884251,0.0077246986,-0.01363026,-0.0059493594,-0.00045132637,-0.009052105,-0.025645696,0.0038396195,-0.023626361
JapS-AQ4_bon_000017,0.010269292,0.009545885,0.017451968,-0.021691877,-0.00065526366,-0.0008538887,0.013906233,0.017526116,0.01070578,-0.026153639,-0.0021594055,-0.02837075,-0.020944916,0.02742948,0.018158767,-0.017500918,0.029563677,-0.0078075007,-0.02499301,0.011063337,0.008505423,0.0034200922,0.021546345,-0.0036463067,0.0103641525,0.015194915,-0.020673588,-0.006924767,-0.020321798,-0.014952324,0.020263597,-0.004713066
JapS-AQ4_bon_000018,0.002827827,-0.028480802,-0.005449321,0.021046367,0.015114006,0.003992565,0.019156937,0.01915675,-0.030606583,0.025402997,-0.027676746,-0.024124216,-0.0041597933,0.003878463,-0.016371168,0.0003946647,0.004261695,-0.010981761,-0.004921697,-0.020864464,-0.0150507875,-0.015342496,-0.013582405,0.013993781,-0.029640876,-0.019731231,-0.010530658,-0.028736424,-0.019743111,0.025172696,-0.016072769,-0.01569565
JapS-AQ4_bon_000019,-0.012560081,0.01813436,0.025960885,-0.011313979,0.020196795,0.021624397,-0.029619288,0.026265357,0.025929105,0.0016611777,0.011473253,-0.014276803,0.029132381,-0.030254237,0.027298085,-0.01144556,0.014162626,-0.018721495,0.028406959,0.025587112,-0.023180053,-0.0136551075,0.010233115,-0.0035219304,-0.009239398,0.016399983,0.014198713,-0.020338312,0.007733103,0.0244378,0.02621876,0.010856461
